时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1865年(清穆宗同治四年 乙丑),浙江金华县城西铁岭头,黄宾虹,黄德涵、潘氏、黄定华、方氏,出生/家庭,1月27日子时出生，按旧俗落地记为二岁，星命家按甲子年、丁丑月、丁酉日、庚子推演命理，全家此前为避战乱迁居此地,《自撰年谱稿》《八十感言》《九十自述》,不详,,,,,,,
1865年(清穆宗同治四年 乙丑),浙江金华县城西铁岭头,黄宾虹,无,艺术/创作,因居所旁双溪水名瀔水，后获古玉印，撰写《释瀔篇》收录于《古印文字考》（未刊行），并将居室命名为穀玉堂,《自撰年谱稿》,不详,,,,,,,
1865年(清穆宗同治四年 乙丑),浙江金华县城西铁岭头,黄宾虹,无,艺术/创作,篆刻两方自用印，印文分别为“甲子年乙丑元旦生”“生於甲子”,《自撰年谱稿》,不详,,,,,,,
1865年(清穆宗同治四年 乙丑),浙江金华,黄宾虹,无,出生/家庭,本名懋质，一名元吉，后陆续更名、改字、改号，民国丁戊年间定字宾虹并沿用,《黄氏家谱》《八十自叙》《自撰生平简述》,不详,,,,,,,
1865年(清穆宗同治四年 乙丑),浙江金华,黄宾虹,黄赓、黄贡、黄赞,家庭/亲属,家族行辈为“懋”字，兄弟四人，当地墓碑记载均简写单名,《自撰年谱稿》,不详,,,,,,,
1865年(清穆宗同治四年 乙丑),浙江金华,黄宾虹,黄德涵、潘氏、黄定华、方氏,家庭/亲属,出生时祖父黄德ha离世十九年，祖母潘氏离世三年，父亲黄定华三十五岁，生母方氏二十三岁,《歙潭渡黄氏先德录》,不详,,,,,,,
1866年(清穆宗同治五年 丙寅),浙江金华,黄宾虹,黄赓,家庭/亲属,二弟黄赓（谱名懋赓）出生,《自撰年谱稿》,不详,,,,,,,
1866年(清穆宗同治五年 玉泉庵后兴让坊),黄宾虹,黄定华,家庭/亲属,全家从铁岭头迁居至县城玉泉庵后兴让坊,《自撰年谱稿》,不详,,,,,,,,
1866年(清穆宗同治五年 巷西蒋氏宅前通街),黄宾虹,黄定华、蒋宪章、金志甫、蒋廷烈、蒋莲芝,家庭/亲属,再次迁居巷西蒋氏宅前通街，父亲开设广达布总号，日常与邻里孩童一同玩耍,《自撰年谱稿》,不详,,,,,,,,
1866年(清穆宗同治五年 丙寅),浙江金华,黄宾虹,黄定华,学业/求学,时年三岁，开始接受父亲的庭训教导,《自撰年谱稿》《歙潭渡黄氏先德录》,不详,,,,,,,
1867年(清穆宗同治六年 丁卯),浙江金华,黄宾虹,黄定华,艺术/创作,时年四岁，开始学画，父亲握其手腕教画梅枝竹叶，旁人评价其颇具绘画悟性,王谱,不详,,,,,,,
1868年(清穆宗戊辰),浙江金华黄氏家塾,黄宾虹,邵赋清、黄定华,学业/求学,家中聘请邵赋清讲授《四子书》，父亲亲自督导，本人勤学好问,《歙潭渡黄氏先德录》,不详,,,,,,,
1868年(清穆宗戊辰),浙江金华,黄宾虹,黄定华,学业/求学,跟随父亲学习《说文解字》，初识六书文字之学,《歙潭渡黄氏先德录》《识字一首》,不详,,,,,,,
1869年(清穆宗己巳),浙江金华山罗店,黄宾虹,黄定华,游历/出行,因地方动乱，跟随父亲避乱至金华山罗店，家中延请蒙师启蒙,《八十自述》,不详,,,,,,,
1869年(清穆宗己巳),浙江金华山罗店,黄宾虹,倪逸甫,艺术/创作,课暇喜爱观摩图画、模仿作画，向倪逸甫请教画理，习得“当如作字法，笔笔宜分明”的作画准则,《八十自述》《杂稿》,不详,,,,,,,
1869年(清穆宗己巳),浙江金华山罗店,黄宾虹,倪逸甫,艺术/创作,聆听倪逸甫讲解书法要义，理解用笔需扎实、摒弃轻浮习气,《杂稿》,不详,,,,,,,
1869年(清穆宗己巳),浙江金华山罗店,黄宾虹,无,艺术/创作,临摹家中白石翁画册，坚持学习数年未曾中断,《八十自述》,不详,,,,,,,
1869年(清穆宗己巳),金华北山三洞,黄宾虹,李灼先、李咏棠,游历/出行,跟随两位业师游览昭真、双龙、冰壶三洞，观赏山水与钟乳景观,汪谱《九十杂述》,不详,,,,,,,
1869年(清穆宗己巳),金华山憩园,黄宾虹,李灼先,学业/求学,居于李灼先的憩园，阅读其家中藏书,汪谱《九十杂述》,不详,,,,,,,
1869年(清穆宗己巳),金华山智者寺,黄宾虹,李灼先、李咏棠,游历/出行,游览智者，观摩陆游书写的诗碑,《九十杂述》,不详,,,,,,,
1869年(清穆宗己巳),金华赤松宫,黄宾虹,李灼先、李咏棠,游历/出行,游览赤松宫，探访黄初平叱石成羊的古迹,《九十杂述》,不详,,,,,,,
1870年(清穆宗庚午),浙江金华,黄宾虹,黄贡,家庭/亲属,三弟黄贡（谱名懋贡）出生,《自撰年谱稿》《歙潭渡黄氏先德录》,不详,,,,,,,
1870年(清穆宗庚午),浙江金华黄氏家塾,黄宾虹,邵赋清,学业/求学,继续跟随邵赋清修习《四子书》，可查阅《字汇》，识字达千余,《自撰年谱稿》《九十杂述》,不详,,,,,,,
1870年(清穆宗庚午),浙江金华,黄宾虹,无,艺术/创作,每日坚持作画两小时，该习惯保持终身,《夏承焘集·天風閣學詞日記》,不详,,,,,,,
1871年(清穆宗辛未),浙江金华,黄宾虹,黄赞,家庭/亲属,四弟黄赞（谱名懋赞）出生,《自撰年谱稿》,不详,,,,,,,
1871年(清穆宗辛未),浙江金华八咏楼,黄宾虹,黄定华、黄崇惺,社交/交往,陪同父亲与黄崇同游八咏楼，诗词问答应对，得到对方赞赏,《自撰年谱稿》,不详,,,,,,,
1871年(清穆宗辛未),浙江金华黄氏家塾,黄宾虹,黄崇惺、程健行,学业/求学,黄崇惺远赴福建后，举荐程健行前来家中授课,《自撰年谱稿》,不详,,,,,,,
1871年(清穆宗辛未),浙江金华,黄宾虹,黄崇惺,学业/求学,收到黄崇惺从福建寄来的《劝学赘言》《凤山笔记》《潭渡杂志》等书籍，潜心研读,《自撰年谱稿》《歙潭渡黄氏先德录》,不详,,,,,,,
1872年(清穆宗壬申),浙江金华黄氏家塾,黄宾虹,程健行,学业/求学,跟随程健行学习《四子书》《五经》，具备独立思考能力,《与汪达川书》,不详,,,,,,,
1873年(清穆宗癸酉),浙江金华,黄宾虹,无,家庭/亲属,长妹出生，后早年夭折,《自撰年谱稿》,不详,,,,,,,
1873年(清穆宗癸酉),浙江金华,黄宾虹,黄定华、倪易甫,艺术/创作,奉父亲之命，临摹倪易甫所作《松菊图》,王谱,不详,,,,,,,
1873年(清穆宗癸酉),浙江杭州,黄宾虹,黄定华,游历/出行,跟随父亲游览杭州，沿途写生，观摩王蒙山水画并反复临摹,王谱,不详,,,,,,,
1873年(清穆宗癸酉),浙江杭州,黄宾虹,黄定华、应芷宾,学业/求学,遵父命留在杭州，跟随应芷宾求学，课余游览山水写生,王谱,不详,,,,,,,
1874年(清穆宗甲戌),浙江金华,黄宾虹,无,家庭/亲属,春季从杭州返回金华,《自撰年谱稿》,不详,,,,,,,
1874年(清穆宗甲戌),浙江金华,黄宾虹,黄白山、黄春谷,学业/求学,研读族祖黄白山《字诂》、黄春谷《梦陔堂文说》《经说》等著作,汪谱,不详,,,,,,,
1874年(清穆宗甲戌),浙江金华,黄宾虹,邓石如、丁敬,艺术/创作,开始学习篆刻，偷偷临摹邓石如印章十余方,王伯敏《黄宾虹》,不详,,,,,,,
1875年(清穆宗乙亥),浙江金华,黄宾虹,赵经田、应芹生、李咏棠、李灼先,学业/求学,时年十二岁，修习五经之余，兼学诗文、书法、绘画,《自撰年谱稿》,不详,,,,,,,
1875年(清穆宗乙亥),浙江金华,黄宾虹,祁寅,学业/求学,借阅明代画册与画论书籍，潜心钻研绘画技法,王谱,不详,,,,,,,
1876年(清穆宗丙子),安徽歙县,黄宾虹,无,学业/求学,早春返乡参加童子试，成绩名列前茅,黄警吾《黄賓虹在徽州》,不详,,,,,,,
1876年(清穆宗丙子),安徽歙县,黄宾虹,董其昌、查士标,艺术/创作,阅览当地名家书画真迹，临摹董其昌、查士标作品数年,《自叙》,不详,,,,,,,
1876年(清穆宗丙子),安徽歙县,黄宾虹,江永、戴震,学业/求学,阅读江永、戴震及族祖相关著作，开始钻研经史,《自述》,不详,,,,,,,
1877年(清穆宗丁丑),安徽歙县,黄宾虹,黄赓,学业/求学,与二弟一同参加府试，成绩位列高等,《洪孺夫人行狀略述》,不详,,,,,,,
1877年(清穆宗丁丑),安徽洪坑,黄宾虹,黄石珊、洪荩臣,社交/交往,跟随黄石珊拜访洪荩臣，结识当地名士,《洪孺夫人行狀略述》,不详,,,,,,,
1878年(戊寅),安徽歙县潭渡村,黄宾虹,族人,其他,寄居二伯父家中，跟随族人学习拳术、剑术、马术,汪谱,不详,,,,,,,
1878年(戊寅),安徽虬村,黄宾虹,汪溶,艺术/创作,前往虬村观赏汪溶所藏石涛《黄山图》，夜间凭记忆作画临摹,王谱,不详,,,,,,,
1879年(己卯),浙江金华,黄宾虹,无,学业/求学,春季返回金华，考入丽正书院并任职，以津贴购置画具,汪谱,不详,,,,,,,
1879年(己卯),浙江金华,黄宾虹,蒋莲僧,艺术/创作,与蒋莲僧一同研习山水画,王伯敏《黄賓虹》,不详,,,,,,,
1879年(己卯),浙江义乌,黄宾虹,陈春帆,艺术/创作,跟随义乌画师陈春帆学习人物画，随其游历义乌写生,《九十雜述》,不详,,,,,,,
1880年(庚辰),安徽歙县,黄宾虹,无,学业/求学,春季返乡参加院试，考中秀才,黄警吾《黄賓虹在徽州》,不详,,,,,,,
1880年(庚辰),浙江金华,黄宾虹,黄定华,家庭/亲属,家中钱庄、布店破产，家境窘迫，诸弟弃商，本人坚持求学,《自撰年谱稿》,不详,,,,,,,
1880年(庚辰),浙江金华书院,黄宾虹,郭子宾,收藏/鉴藏,在书院结识郭子宾，观赏其家中古画藏品,《自撰年谱稿》,不详,,,,,,,
1880年(庚辰),安徽歙县,黄宾虹,黄芸阁,学业/求学,迁居城东三牌坊，跟随黄芸阁学习科举课业,《自撰年谱稿》,不详,,,,,,,
1880年(庚辰),安徽歙县雄村,黄宾虹,曹氏,艺术/创作,观赏黄凤六《黄山异卉册》、雪庄《异卉图》，临摹并抄录题诗,自题跋文,不详,,,,,,,
1881年(辛巳),浙江金华书院,黄宾虹,无,学业/求学,时年十八岁，在书院继续修习，准备岁考,朱契《中國考試制度》,不详,,,,,,,
1882年(壬午),浙江永康,黄宾虹,方景和,游历/出行,跟随舅父方景和游览永康，沿途写生,《自述稿》《九十雜述》,不详,,,,,,,
1882年(壬午),浙江云山、福建汀州,黄宾虹,黄崇惺,游历/出行,秋季游览云山，前往福建探望黄崇惺，抵达后得知其病逝,黄警吾《黄賓虹在徽州》,不详,,,,,,,
1882年(壬午),安徽歙县,黄宾虹,洪荩臣、洪四果,家庭/亲属,返回歙县参加岁试，经撮合与洪荩臣长女洪四果定下婚约,《洪孺夫人行狀略述》,不详,,,,,,,
1882年(壬午),安徽黄山,黄宾虹,无,游历/出行,首次登临黄山，游览、写生并赋诗记录,黄警吾《黄賓虹在徽州》,不详,,,,,,,
1883年(癸未),新安江、南京、扬州,黄宾虹,无,游历/出行,春季从新安江出发，前往南京、扬州游学，批注各类典籍,《自叙》,不详,,,,,,,
1883年(癸未),江苏南京,黄宾虹,刘恭甫,社交/交往,在南京结识刘恭甫，切磋文艺,《虹廬畫談》,不详,,,,,,,
1883年(癸未),江苏扬州,黄宾虹,刘恭甫,收藏/鉴藏,观赏刘恭甫家中书画藏品,《虹廬畫談》,不详,,,,,,,
1883年(癸未),安徽歙县潭渡村,黄宾虹,无,学业/求学,翻阅家族族谱与地方旧事,《任耕感言》,不详,,,,,,,
1883年(癸未),安徽歙县,黄宾虹,汪怀之,收藏/鉴藏,获友人汪怀之赠送汉代“鹰扬将军”铜印，随身携带多年,《頻虹藏漢銅印記》,不详,,,,,,,
1884年(甲申),新安江、南京、扬州,黄宾虹,无,游历/出行,春季从新安江出发，赴南京、扬州拜师求学,《自叙》,不详,,,,,,,
1884年(甲申),江苏南京,黄宾虹,无,学业/求学,研读张庚《国朝画征录》，为书中疑点批注考证,《畫徵錄商兌》,不详,,,,,,,
1884年(甲申),江苏南京,黄宾虹,刘恭甫,社交/交往,与刘恭甫相交，获其手绘《幽亭古木图》扇面，观赏王氏兄弟画册,《虹廬畫談》,不详,,,,,,,
1885年(乙酉),新安江、南京、扬州,黄宾虹,无,游历/出行,春季再度沿新安江出行，前往南京、扬州求学,《自叙》,不详,,,,,,,
1886年(丙戌),安徽歙县,黄宾虹,无,学业/求学,改名黄质，参加岁试，考取廪生,《九十雜述》,不详,,,,,,,
1886年(丙戌),安徽歙县,黄宾虹,王养涵,社交/交往,在歙县试院结识王养涵，交流学识,题跋,不详,,,,,,,
